question, answer
Does AWS GuardDuty have configuration?, No
How do you encrypt an EC2 volume?, "Select -Encrypt this volume- when creating it in EC2, then select the encryption key from KMS"
"What Governance and Compliance service gathers and visualizes real-time logs, metrics, and event data in automated dashboards to streamline infra and app maintenance?", Cloudwatch
"What Governance and Compliance service allows you to view, search, downlaod, archive, analyze, and respond to API actrivity across the AWS infrastructure?", CloudTrail
"What Governance and Compliance service maps customer compliance requirements to AWS usage data with prebuilt and custom frameworks and automated evidence collection?", AWS Audit Manager
"What Governance and Compliance service continually assesses, audits, and evaluates the configurations and relationships of AWS resources in on premise, and other clouds?", AWS Config
"What is a critical security API capture solution that enables operational and risk auditing, governance, and compliance of your AWS account?", CloudTrail
"Which fully managed security service uses "findings" to look for unusual API calls or potentially unauthorized deployments that indicate a possible account comproimize (zero day)?", AWS GuardDuty
"Which managed security service lets customers create, manage, and control cryptographic keys across their applications and AWS services?", AWS Key Management Service (KMS)
"Which service offers customers a comprehensive view of their security state against indusctry standards and best practices such as the Center for Internet Security (CIS)?", Security Hub
"When using AWS security, customers benefit from using security technology and consulting services from trusted solution providers like Fortinet and Palo Alto Netowrks. Which AWS security propositoins is this related to?", Utilizing the biggest ecosystem of security partners and solutions
"What is an always-free anti-DDos service that runs constantly to protect all accounts in good standing?", Shield Standard
What are some key services that are commonly utilized to support organizational guvernance and compliance with access reporting?, "AWS CloudTrail, AWS Audit Manager, Amazon CloudWatch, AWS Config"
"Which is a managed vulnerability assessment service that continuously scans AWS workloads for software vulnerabilities, gaps, and unintentional network exposures?", Amazon Inspector
What is the pricincple that a security architecture should be utilizing so that each subject is granted the minimum system resources and authorizations that the entity needs to conduct its activities?, Least Privilege Principle
How is the Least Privilege Principle applied in AWS?, "Role-Based Access Control (RBAC) model unless federated single sing-on (SSO) is being used"
How can you enforce access control to eliminate the human tempation to access restricted resources?, Implement a least privilege strategy (LPS) with the critical element of a Zero Trust (ZT) initiative
What is the AWS account that is first created and begins with a single sign-in identity that has complete access to all AWS services and resources in the account?, AWS Root User Account
True or False: You should discourage using the root user for everyday tasks (even administrative ones), True
"What AWS account type can change the support plan, Modify payment options, close an AWS account, Sign up for GovCloud, Transfer a Rout 53 domain, and create an X.509 signing certificate?", Root Account
True or False: It is acceptable to access the root account programatically, False
What is a managed JSON document that acts as an allowlist for groups in Identity and Access Management?, Policies
What is the default password policy character limit and the maximium character limit in IAM?, minimum 8 characters and maximum 128 characters
What is the preferred gateway for identity management in AWS to manage workforce access?, IAM Identity Center
True or False: You need to be in an Orgianization to use IAM Identity Center, True
What is used to create and provide trusted users with temporary security credentials that can control access to your AWS resources?, Security Token Service (STS)
What is a unified tool to manage your AWS services?, AWS Command Line Interface (AWS CLI)
What is the default output format for Command Line Interface (AWS CLI)?, JSON
"What service is used to view operational data for groups of resources, so you can quickly identify and act on any issues that might impact applications that use those resources?", AWS System Manager
What are the three MFA device options?, "Authenticator App or FIDO security, Security Key, Hardware TOTP Token"
What is a logical object that has permissions assigned to it?, A Role
Virtual authenticator apps support multiple tokesn on a signle device using which algorithm?, TOTP
What is a common term that is often used in place of "Least Privilege"?, Need to Know
Which tasks can only be performed by the AWS Root Account User?, "Close out an AWS Account, Switch to direct billing in an organization, Add a credit card payment method, Change the support plan"
"Which term is used to describe the account that has the resource objects, such as an S3 bucket, that a cross-account entity wants to access?", Trusting (NOT trusted)
Which is an entity you create and assign specific permissions to that allow trusted identities such as workforce identities and applkications to perform actions in AWS?, Role
Which is a fully managed single sign-on provider for AWS accounts and applications?, IAM Identity Center
"What is a console-based, self-service auditing object retrieval service that gives customers quick and simple access to AWS compliance documentation and agreements?", AWS Artifact
"What is used to continuously map a customer's compliance requirements to AWS usage data with prebuilt and custom frameworks and automated evidence collection?", AWS Audit Manager
"What can customers leverage to provision, manage, and deploy public and private TLS certificates for use with AWS services and internal connected resources?", AWS Certificate Manager
"What streamlines the investigative process and assists security teams in performing rapid and efficient eDiscovery initiatives?", Amazon Detective
"What can customers use to create their own customer pools with signups for their mobile apps?", Amazon Cognito
"what service can be used to manage Microsoft Active Directory?", AWS Directory Service
What is a data security service that uses machine learning (ML) and pattern matching to discover and help protect the customer's sensitive data?, Amazon Macie
What manages access to resources by creating a resource share?, AWS Resource Access Manager (AWS RAM)
Where can you find AWS Security information for free?, AWS Knowledge Center
What are the four main goals of AWS Security Center?, "Prevent, Detect, Respond, Remediate"
"Which of the AWS Security Center goals is concerned with defining user permissions and identities, infra protection, and data protection measures for a smooth and planned AWS adoption strategy?", Prevent
"Which of the AWS Security Center goals is focused on gaining visibility into your organization's security posture with logging and monitoring services?", Detect
"Which of the AWS Security Center goals is concerned with automated incident response and recovery to help shift the primary focus of your security teams from response to analyzing root cause?", Respond
"Which of the AWS Security Center goals focuses on leveraging event driven automation to quickly remediate and secure your AWS environment in near real-time?", Remediate
"What is a stateless, layer 3 or 4, static firewall with no tracking that looks at packets one at at time and allows for denial or allow lists?", Network Access Control List (NACL)
"What is a stateful (or information being stored), layer 3 or 4 allow list style firewall solution in AWS that applies to the virtual elastic networ interface?", Security Groups
"If you wanted to use a layer 3 or 4 network firewall with a deny list, what option would you want to choose?", Network Access Control List (NACL)
"What is an HTTP/S deep packet inspection firewall that defends against common web exploits and bots that can affect availability, compromise security, or consume excessive resources?", Web Application Firewall (WAF)
What are the four options for running a Web Application Firewall (WAF)?, "Amazon Cloudfront, Application load balancer, Amazon API Gateway, AWS AppSync"
What can customers use to enforce a key set of security group rules with a collective security policy while also deploying application-specific rules?, AWS Firewall Manager
What are the five recommendations for AWS Trust Advisor?, "Cost Optimization, Performance, Security, Fault tolerance, Service Limits"
Where is a VPC security group applied?, To the elastic network interface
"Which AWS feature helps customers find third-party software, data, and serices that run on AWS and manage from a centralized location?", AWS Marketplace
What is the deployment model that offers the basic building blocks for cloud information technology and provides netowrking features and data storage space in the AWS datacenter?, Infrastructure as a Service (IaaS)
What is the deployment model that offers the highest flexibility and management control over IT resources?, Infrastructure as a Service (IaaS)
What is the deployment model that removes the need for organizations to manage the underlying infrastructure and lets customers focus on the deployment and management of their applications?, Platform as a Service (PaaS)
"What is the deployment model that allows customers to relax and not be concerned with resource procurement, capacity planning, software maintenance, patching, or any of the other heavy lifting in running applications?", Platform as a Service (PaaS)
What is the deployment model that offers customers a comprehensive solution run and managed by the service provider and usually involves various end-user applications?, Software as a Service (SaaS)
What is the deployment model where customers are not involved in the maintenance of the service or underlying infrastructure?, Software as a Service (SaaS)
"Of the three deployment models, which one has the most customer responsibility and which has the least?", "Infrastructure as a Service (IaaS) has the most, and Software as a Service (SaaS) has the least"
True or False: The Platform as a Service (PaaS) deployment model has a fixed shared responsibility model, False
"What deployment model is fully deployed in the cloud, and all parts of the application or database solution run in the cloud?", Cloud
"When applications in the cloud have either been generated in the cloud or have been migrated from a standing infrastructure to leverage the benefits of AWS cloud computing, what deployment model has been used?", Cloud
"What deployment model allows for applications to be constructed on low-level infrastructure pieces or can use higher level servcies that offer abstraction from the management, architecting, and scaling needs of the core infrastructure?", Cloud
"What deployment model is used as a method for connecting infrastructure and applications between cloud-based resources and existing resources that are not placed in the cloud?", Hybrid
"When a deployment model bridges the gap between existing on-premises infrastructure and the cloud to extend and grow an organizations infrastructure into the cloud, what is being used?", Hybrid
"What deployment model is described by installing resources on-premises, using virtualization and resource management tools, often called private cloud", On-premises
Which deployment model does not use Amazon Web Services?, On-premises 
What is used to access the AWS CLI from the AWS Management Console?, AWS Cloudshell
What does ETL mean?, "Extract, Transform, and Load; referring to processes"
What is the maximum bandwidth for an AWS internet gateway? 1.25 gigabit per second
What is a confirgurtation optoin that AWS offers that lets customers house a group of interdependent EC2 instances in a certain way across the underlying hardware on which those instances resise?, AWS Placement Groups
True or False: S2 objects and RDS instances are automatically replicated accross multiple Availability Zones, True
What are some reasons to utilize multiple AWS regions?, "Disaster Recovery, Lowering Latency for customers, Data dispersion initiatives, Data sovereignty"
"Which AWS service helps ensure smooth and reliable data transfers at massive scale for real-time analysis, rapid data backup, or broadccast media processing?", Direct Connect
What does a rem ote user need to programmatically access AWS resources thorugh the CLI?, Access Key
What's an example of a one-time operation?, "Extract, Transform, and Load (ETL) processes"
"Which service type allows customers to transfer resource procurement, capacity planning, software maintenance, patching, and other undifferentiated heavy lifting issues involved in running application databases?", Platform as a Service (PaaS)
What is a configuration option that AWS offers that lets customers house a gorup of interdependent EC2 instances in a certain way across the underlying hardware on which those instances reside?, Placement Groups
Which popular service can organizations use to load balance packets across multiple regions?, Route 53
What are AWS data centyers and metropolitan area partners that are designed to deliver customer services with the lowest possible latency?, Edge Locations
"What EC2 instance type provides a balance of compute, memory, and networking resources, and can be used for a variety of diverse workloads?", General Purpose
What are the AWS Instance types?, "General Purpose, Compute Optimized, Memory Optimized, Accelerated computing, Storage Optimized, High-Performance Computing (HPC) Optimized"
"What is a compute instance that can be moved from one instance family, operating system, or tenancy to another?", Converatble Reserve Instance
What is the maximum number of times you can exchange a Convertible Reserve Instance?, There is no limit
What gives you the ability to easily and efficiently run batch computing workloads of any scale?, AWS Batch
What is an AWS instance that lets you bid on available compute resources?, EC2 Spot instances
"What is the easiest way to get started with AWS for developers, small businesses, and students who needs a solution to build and host their websites?", Amazon Lightsail
What is an AWS servcie for deploying and scaling web applications and services?, AWS Elastic Beanstalk
What are specific service-oriented application components made up of small independent services that communicate over well-defined APIs for notification and process queueing?, Microservices 
"When autoscaling, what tool is used to track and optimize based on the launch template?", AWS Cloudwatch 
What are the two types of autoscaling in a launch template?, Predictive and Dynamic 
What is a device that is placed between the client and server group and functions as a transparent mediator?, A Load Balancer 
What is the service that offers a collection of fully managed solutions that deliver AWS infrastructure and services to most on-prem or edge locations for a reliable hybrid cloud experience?, AWS Outposts
What inserts AWS compute and storage services into 5g networks?, AWS Wavelength
"What is a serverless, pay-as-you-go compute engine that lets customers construct applkications without servers often used with Amazon ECS and Amazon EKS?", AWS Fargate
"Which AWS service would customers use to rapidly launch scalable web applications in minutes without the overhead of provisioning and handling underlying infrastructure?", Elastic Beanstalk
"What is an infrastructure deployment solution that places compute, storage, database, and other specific AWS services close to large population and industry center?", Local Zone
"Which instance type provides a balance of compute, memorory and networking resources, and can be used for a variety of diverse workloads?", General Purpose 
"What is a discrete environment within an operating system (or a serverless architechture) where one or more applications can run that is typically assigned all the resources and dependencies needed to function?", Container
What are the two database engine options that are compatible with Amazon Aurora?, MySQL and PostgresSQL
"What is a fast, reliable graphe database service that makes it easy to build and run applications that work with highly connected datasets?", Amazon Neptune
"What is an extremely fast in-memory data store that provides sub-millisecond latency to enable internet-scal real-time applications constructed on open-source Redis and compatible with the Redis APIs?", ElastiCache
"When using INfrastructure-as-a-Service at AWS, what is the most common option for deploying Amazon Machine Images?", EC2
What is the main interface used to communicate with relationsal databases?, SQL
"What is an AWS migration and replication service that helps move your database and analytics workloads to AWS quickly, securely, and with little downtime supporting migration between several database and analytics engines such as Oracle to Amazon Aurora MySQL?", AWS Database Migration Service (DMS)
What database platforms are supported by Amazon Aurora?, MySQL and PostgresSQL
"What is a fast, fully managed, serverless, key-value NoSQL malleable NoSQL database service for single-digit millisecond performance at any scale designed to run high-performance applications?", Dynamo DB
"What is a fully managed database service built for the cloud that makes it easier to build and run graph applications with built-in security, continuous backus, serverless compute, and integrations with other AWS services?", Amazon Neptune
"What allows stateless traffic filitering to all inboud or outbound traffic on a VPC subnet?", Network Access Control Lists (NACLs)
"What helps you protect against common web exploits and bots that can affect availability, compromise security, or consume excessive resources?", Web Application Firewall (WAF)
What is a networking connection between two VPCs?, VPC Peering connection
What is a highly available and scalable cloud domain name system (DNS) webservice that is designed to offer a very dependable and cost effective method to rout end users to internet applications by translating human-readable domain names to IPv4 and IPv6 addresses?, Amazon Route 53
"What is an edge network service that acts as a content delivery network (CDN) service designed for high performance, security, and developer suitability?", Amazon Cloudfront
Which AWS VPC element defines the type of subnets you are deploying?, Route table
Which type of virtual firewall performs stateless traffic filtering to all inbound or outbound traffic on a VPC subnet?, (Network Access Control List) NACL
What is the default CIDR prefix for the default virtual private cloud in a regional account?, 172.31.0.0/16
"Which AWS cloud service is the shortest path to your AWS resources in that while in transit, your netowrk traffic stays on the AWS globabl network and never touches the public internet?", Direct Connect
"Which AWS service offeres private connectivity between VPCs, supported AWS services, and on-premises networks without exposing your traffic to the public internet?", PrivateLink
What are the three types of cloud storage types in AWS?, "Object, File, and Block"
What storage system stores the data block on supporting physical storage in a manner that is optimized for fast access and retrieval?, Block Storage
What storage system is a technology that stores and controls data in an unstructured format called objects?, Object Storage
"What storage system is used by mondern enterprises to generage and analyze large amounts of unstructured data such as photos, graphics, audio files, videos, email, web pages, and sensor data?", Object Storage
What object storage use case collects and stores virtually unlimited data of any type in cloud object storage?, Analytics 
What object storage use case uses cloud object storage as its core since it has virtually unlimited scalability and high durability?, Data lakes
What object storage use case is exceptional for long-term data retention?, Data archiving
"What object storage use case speeds up applications and lowers the cost of storing media files like videos, digital images, and music?", Rich media
What object storage use case deploys object storage systems to duplicate content in case a physical device fails like storing snapshots?, Backup and Recovery 
What object storage use case uses technologies like containeraization and serverless to address customer needs in a rapid and flexible way?, Cloud-native applications
What object storage use case requires object storage because of the scale and cost efficiency to "teach" a computer system to make predictions or inferences?, Machine Learning (ML)
How many solid state types are there in EC2?, 4
What is a hybrid storage service that enables your on-premises applicaitons to seamlessly use AWS cloud storage?, AWS Storage Gateway
What are the 6 phases of the cloud data lifecycle?, "Create, Store, Use, Share, Archive, Destroy"
What are the only two required stages of the cloud data lifecycle?, "Create and Use"
"What is used to automate the creation, retenction, and deletion of EBS snapshots and EBS-backed AMIs?", Amazon Data Lifecycle Manager
"What kind of backup service would you use if you needed replicaiton to an AWS GovCloud (US) or China region, or replication and recovery into AWS Outposts?", AWS CloudEndure 
"What minimizes downtime and data loss with fast, reliable recovery of on-premises and cloud-based applications using affordable storage, minimal compute, and point-in-time recovery?", AWS Elastic Disaster Recovery
Which type of AWS stoarage provides temporary block-level storage for your instance and is locaated on discks that are physically attached to the host computer?, Ephemeral instance store
What is the AWS cloud storage that automatically reduces storage costs on a granular object level by automaticlaly moving data to the moist cost-effective access tier based on several dynamic factors?, S3 intelligent-tiering
"With AWS Storage Gateway, what can customers use to retire traditional physical tape libraries and trade them for sturdy and secure cloud-enabled storage solutions?", Tape Replacement
Which are common use cases for block (volume) storage?, "Containerized Applications, Storage area networking, Transactional workloads, Analytics and data warehousing"
"Which AWS service lets customers choose between four widely used file systems: NetApp ONTAP, OpenZFS, Windows File Server, and Lustre?", AWS FSx
Which are common use cases for object storage?, "Data Archiving, Machine Learning, Backup and Recovery, Rich Media"
"Which is a fully managed, high-speed cache on AWS that's used to process file data, regardless of where the data is stored?", Amazon File Cache
"Which AWS Service is used to automate the creation, retention, and deletion of EBS snapshots and EBS-backed AMIs?", Amazon Data Lifecycle Manager
What are the four main ML algorithms?, "Supervised Machine Learning, Unsupervised Machine Learning, Semi-supervised learning, and Reinforcement machine learning"
